entity_id,name,last_seen_at,hours_since,within_sla,status
127,INSTITUTO DE PREVIDENCIA SOCIAL DO MUNICIPIO DE NAVEGANTES - NAVEGANTESPREV,2026-07-15T14:35:50+00:00,78.359,False,stale
128,SECRETARIA MUNICIPAL DA EDUCACAO,,,False,never
129,MUNICIPIO DE RIO FORTUNA,2026-07-17T10:39:12+00:00,34.303,False,stale
130,CAMARA MUNICIPAL DE RIO FORTUNA,,,False,never
131,"SECRETARIA DE EDUCACAO, CULTURA E DESPORTO",,,False,never
132,MUNICIPIO DE ILHOTA,2026-07-16T11:17:16+00:00,57.668,False,stale
133,ILHOTA CAMARA DE VEREADORES,,,False,never
134,FUNDACAO CULTURAL JOSE IZIDRO VIEIRA,2026-07-14T15:10:58+00:00,101.773,False,stale
135,FUNDACAO MUNICIPAL DE ESPORTES DE ILHOTA,,,False,never
136,ILHOTAPREV - INSTITUTO DE PREVIDENCIA MUNICIPAL DE ILHOTA,,,False,never
137,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA,2026-07-16T13:56:11+00:00,55.02,False,stale
138,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO DO MUNICIPIO DE ILHOTA,,,False,never
139,MUNICIPIO DE VIDAL RAMOS,2026-07-13T07:59:31+00:00,132.964,False,stale
140,FUNDACAO MUNICIPAL DO MEIO AMBIENTE-FUNDEMA,,,False,never
141,CAMARA DE VEREADORES DO MUNICIPIO DE VIDAL RAMOS,,,False,never
142,SECRETARIA DA EDUCACAO DE VIDAL RAMOS SC,,,False,never
143,PREVID DOS SERVIDORES PUBLICOS MUNICIPAIS DE GASPAR,,,False,never
144,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,,,False,never
145,MUNICIPIO DE GASPAR,2026-07-14T16:52:03+00:00,100.088,False,stale
146,GASPAR CAMARA DE VEREADORES,,,False,never
147,"FUNDACAO MUNICIPAL DE ESPORTES, TURISMO, CULTURA E LAZER",,,False,never
148,SECRETARIA MUNICIPAL DE EDUCACAO DE GASPAR,,,False,never
149,FUNDACAO HOSPITALAR DE IMBUIA,,,False,never
150,FUNDACAO MUNICIPAL DE ESPORTES DE IMBUIA,,,False,never
151,MUNICIPIO DE IMBUIA,,,False,never
152,CAMARA DE VEREADORES DE IMBUIA,,,False,never
153,SECRETARIA MUNICIPAL DE EDUCACAO DE IMBUIA,,,False,never
154,MUNICIPIO DE PRESIDENTE NEREU,,,False,never
155,PRESIDENTE NEREU CAMARA DE VEREADORES,,,False,never
156,FUNDACAO MUNICIPAL DE ESPORTES,,,False,never
157,SECRETARIA DE EDUCACAO DE PRESIDENTE NEREU,,,False,never
158,INSTITUTO DE PESQ E PLANEJAM URBANO DE BLUMENAU,,,False,never
