claim_id,run_id,profile_hash,cutoff,opportunity_id,recommendation,internal_ranking,confidence,orgao_nome,statement,hard_blockers,missing_information
dec-177,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,177,NÃO_PARTICIPAR,NO_GO,HIGH,FUNDO MUNICIPAL DE SAUDE DE ARAQUARI - SC,"Oportunidade 177 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=FUNDO MUNICIPAL DE SAUDE DE ARAQUARI - SC",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-179,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,179,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE CAIBI,"Oportunidade 179 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE CAIBI",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-94,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,94,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE CAPINZAL,"Oportunidade 94 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE CAPINZAL",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-92,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,92,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE NAVEGANTES,"Oportunidade 92 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE NAVEGANTES",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-91,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,91,NÃO_PARTICIPAR,NO_GO,HIGH,CAMARA MUNICIPAL DE VEREADORES DE ITA,"Oportunidade 91 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=CAMARA MUNICIPAL DE VEREADORES DE ITA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-85,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,85,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SOMBRIO,"Oportunidade 85 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SOMBRIO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
dec-156,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,156,NÃO_PARTICIPAR,NO_GO,HIGH,DEPARTAMENTO ESTADUAL DE TRANSITO,"Oportunidade 156 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=DEPARTAMENTO ESTADUAL DE TRANSITO",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel"", ""valor_estimado""]"
dec-83,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,83,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE ITAPIRANGA,"Oportunidade 83 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE ITAPIRANGA",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-82,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,82,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE XAXIM,"Oportunidade 82 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE XAXIM",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""link_edital"", ""margem_minima"", ""risco_aceitavel""]"
dec-57,decision-20260719T221130Z-fb0c4820ba,db621d0de72e523f9a821430dfdd5326c7498b5646a13481e6cc7657fb488aa1,2026-07-19,57,NÃO_PARTICIPAR,NO_GO,HIGH,MUNICIPIO DE SAO JOAQUIM,"Oportunidade 57 → NÃO_PARTICIPAR (score=35, conf=HIGH) órgão=MUNICIPIO DE SAO JOAQUIM",[],"[""apetite_consorcios"", ""capacidade_garantia"", ""capacidade_simultanea"", ""capital_giro"", ""cats_atestados"", ""certidoes"", ""client_object_fit"", ""contratos_atuais"", ""equipamentos"", ""equipe"", ""margem_minima"", ""risco_aceitavel""]"
