pncp_id,objeto_compra,orgao_cnpj,uf,valor_total_estimado,is_active
01612745000174-1-000146/2026,"Prestação de serviços de locação, montagem, instalação e desmontagem de palco, portal de entrada, backdrop e grades de contenção destinados à infraestrutura da Festa de Aniversário dos 31 anos do Município de Ibiam/SC, contemplando toda a mão de obra, equipamentos, materiais, transporte e demais recursos necessários à perfeita execução dos serviços, conforme especificações constantes do Estudo Técnico Preliminar, Documento de Formalização da Demanda e Termo de Referência.",01612745000174,SC,15416.65,True
00394494000136-1-000716/2026,"Contratação de empresa especializada para prestação de serviço não continuado de engenharia na modalidade turn key (chave na mão), visando o retrofit (modernização, recuperação e revitalização) do sistema de ar condicionado central do tipo VRF da Delegacia de de Policia federal de Itajaí/SC - DPF/IJI/PF, a serem executados com regime de contratação semi-integrada, incluindo o fornecimento e instalação de todos os materiais e equipamentos necessários.",00394494000136,SC,1239848.16,True
00394494000136-1-000720/2026,"Contratação de serviços que compreendem reparos decorrentes de infiltrações na primeira e segunda lajes; correções na parte elétrica, tendo em vista a ocorrência de fuga de energia possivelmente causada por umidade, que vem ocasionando o desarme de disjuntores; impermeabilização das estruturas da garagem; substituição de pisos cerâmicos, forros de gesso e pintura, se necessários; bem como a lavação externa da edificação, da Unidade FICCO /DRPJ/SR/PF/SC, pertencente à Superintendência Regional de Polícia Federal em Santa Catarina.",00394494000136,SC,0.00,True
00394502000144-1-007708/2026,"Fornecimento de marmitex para os alunos dos Cursos para Aquaviários, realizados pela Delegacia da Capitania dos Portos em Laguna",00394502000144,SC,17538.30,True
00394502000144-1-007841/2026,Aquisição de medicamento conforme especificação no Termo de Referência,00394502000144,SC,17229.15,True
00394502000144-1-007856/2026,Aquisição de materiais diversos para suprir demandas no EPM (Ensino Profissional Marítimo).,00394502000144,SC,1163.00,True
01612745000174-1-000147/2026,"Contratação da Escola de Gestão Pública Municipal – EGEM, para realização de 02 (duas) inscrições no Curso de Formação e Capacitação de Pregoeiros e Agentes de Contratação, modalidade on-line, a ser realizado nos dias 28 e 29 de julho de 2026, destinado às servidoras da Prefeitura Municipal de Ibiam/SC que atuam diretamente no setor de licitações.",01612745000174,SC,1700.00,True
01612745000174-1-000148/2026,"O VI Seminário Estadual de Envelhecimento Ativo visa aprofundar o conhecimento acerca do processo de envelhecimento ativo, discutir o funcionamento dos Conselhos Municipais e instituição dos Fundos Municipais do Idoso, apresentar metodologia sobre cidades e comunidades amigáveis às pessoas idosas, aprofundar o debate sobre as Instituições de Longa Permanência para Idosos – ILPIs e Centros Dias, possibilitar a troca de experiências entre os municípios em relação ao atendimento da pessoa idosa eco",01612745000174,SC,1400.00,True
01612781000138-1-000100/2026,"Despesa empenhada para contratação de empresa para fornecimento de KIT REFIL DOUBLE PLUS ALCALIA E IONIZADA, com 04 (quatro) elementos filtrantes cada, incluindo serviço de troca dos refis e limpeza dos reservatórios dos bebedouros instalados nas Escolas Municipais. Art. 75, Inc. II (Lei 14.133/2021).",01612781000138,SC,1180.00,True
01612781000138-1-000101/2026,Despesa empenhada para aquisição de bobina para tacógrafo para o veiculo ônibus Placa RXM7H44 utilizado pela Secretaria de Educação. Art. 75 Inc. II (Lei 14.133/2021).,01612781000138,SC,49.35,True
01612781000138-1-000102/2026,"Despesa empenhada referente a contratação de banda musical para realização de apresentação artística com música ao vivo durante as festividades alusivas à Independência do Brasil, a serem realizadas no dia 06 de setembro, promovidas pelo Município de Santiago do Sul, com o objetivo de proporcionar entretenimento à população, incentivar a participação da comunidade, fortalecer os vínculos sociais e valorizar as tradições cívicas, culturais e comemorativas do município. Art. 75 Inc. II (Lei 14.133/2021).",01612781000138,SC,2800.00,True
01612781000138-1-000103/2026,"Despesa empenhada para aquisição de 01 (uma) passagem rodoviária no trecho São Lourenço do Oeste/SC – Maringá/PR, destinada ao transporte da aluna E.T.P., regularmente matriculada em instituição de ensino localizada fora do Município de Santiago do Sul/SC, visando garantir seu deslocamento para fins de continuidade dos estudos, em atendimento à política municipal de apoio ao transporte de estudantes que frequentam cursos em outros municípios. Art. 75, Inc. II (Lei 14.133/2021)",01612781000138,SC,213.98,True
00509968000148-1-002193/2026,"Fornecimento de software gerenciador de controle de acesso para as catracas de reconhecimento facial com licenças vitalícias e serviços de migração de dados, instalação e configuração de todo o sistema.",00509968000148,SC,32387.50,True
pcp_492410,"O objeto do presente processo licitatório consiste na contratação de empresa especializada para execução de serviços técnicos em poço tubular profundo no Município de Presidente Castello Branco/SC, compreendendo a retirada e reinstalação de bomba...",,SC,,True
pcp_492426,"REGISTRO DE PREÇOS PARA CONTRATAÇÃO DE EMPRESA PARA EFETUAR A MANUTENÇÃO PREVENTIVA E CORRETIVA, BEM COMO O FORNECIMENTO DE PEÇAS PARA OS POÇOS ARTESIANOS DO MUNICÍPIO, DE ACORDO COM AS CONDI-ÇÕES E ESPECIFICAÇÕES ESTABELECIDAS NO EDITAL",,SC,,True
pcp_492436,"Aquisição, por meio de sistema de registro de preços, lixeiras monobloco com suportes ao Município de Capinzal e de seus entes.",,SC,,True
pcp_484532,"Contratação de empresa especializada para o fornecimento de licença de uso (locação) de sistema web integrado de gestão em nuvem, de uso exclusivo do Fundo Municipal de Saúde de Piratuba",,SC,,True
01612812000150-1-000133/2026,"O OBJETO DA PRESENTE LICITAÇÃO CONSISTE NA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA O FORNECIMENTO DE EQUIPAMENTOS AGRÍCOLAS, DO TIPO PLANTADEIRAS, DESTINADOS À SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENTE, VISANDO ATENDER ÀS DEMANDAS DE PRESTAÇÃO DE SERVIÇOS ÀS PROPRIEDADES RURAIS DO MUNICÍPIO, CONFORME A EMENDA PARLAMENTAR Nº 719 E A PORTARIA Nº 402/2025-SEF.",01612812000150,SC,108966.67,True
