id,razao_social,cnpj_8,municipio,codigo_ibge,distancia_fk,raio_200km,has_opportunity_data
1017,FUNDACAO CENTRO BRASILEIRO P/ A INFANCIA E ADOLESCENCIA,33502329,SANTA CATARINA,,0.10435089202821368,True,False
805,CONSORCIO INTERMUNICIPAL PARA O PROJETO TURISTICO SERRAMAR,12006293,SANTA CATARINA,,0.10435089202821368,True,False
636,ASSEMBLEIA LEGISLATIVA DO ESTADO DE SANTA CATARINA,83599191,SANTA CATARINA,,0.10435089202821368,True,False
934,FUNDACAO ESCOLA AGROTECNICA FEDERAL DE CONCORDIA,03195850,SANTA CATARINA,,0.10435089202821368,True,False
626,SC - SECR DE ESTADO DO DESENV SOCIAL E DA FAMILIA,83159400,SANTA CATARINA,,0.10435089202821368,True,False
1050,CONSELHO REGIONAL DE FONOAUDIOLOGIA 3 REGIAO,73392409,SANTA CATARINA,,0.10435089202821368,True,False
947,CONSORCIO INTERMUNICIPAL DE PROCESSAMENTO DE LIXO URBANO CIPLU,04703600,SANTA CATARINA,,0.10435089202821368,True,False
860,COMPANHIA DE DISTRITOS INDUSTRIAIS DE SANTA CATARINA - CODISC -,83042325,SANTA CATARINA,,0.10435089202821368,True,False
607,CONSELHO REGIONAL DE DESPORTOS DE SANTA CATARINA,82896622,SANTA CATARINA,,0.10435089202821368,True,False
692,1 VARA CIVEL DO FORO DISTRITAL DO CONTINENTE,01355598,SANTA CATARINA,,0.10435089202821368,True,False
926,DELEGACIA DA RECEITA FEDERAL EM BLUMENAU,02436761,SANTA CATARINA,,0.10435089202821368,True,False
618,SECRETARIA DE ESTADO DA AGRICULTURA E PECUARIA,82951336,SANTA CATARINA,,0.10435089202821368,True,False
646,SANTA CECILIA ESCRIVAO DO CIVEL ORFAOS E ANEXOS,83678698,SANTA CATARINA,,0.10435089202821368,True,False
624,FLORIANOPOLIS SECRETARIA EDUCACAO SAUDE ASSIT SOCIAL,82953266,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
745,SECRETARIO DO JUIZADO ESPECIAL DA COMARCA DE JARAGUA DO SUL,05587891,SANTA CATARINA,,0.10435089202821368,True,False
839,FUNDO DE ACESSO A JUSTICA,27760920,SANTA CATARINA,,0.10435089202821368,True,False
579,FLORIANOPOLIS JUIZADO FORMAL DE PEQUENAS CAUSAS,72172166,SANTA CATARINA,,0.10435089202821368,True,False
688,QUINTA VARA CIVIL DA COMARCA DA CAPITAL,01212186,SANTA CATARINA,,0.10435089202821368,True,False
603,AUTARQUIA DE MELHORAMENTOS DA CAPITAL - COMCAP,82511825,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
650,SANTA CATARINA SECRETARIA DE DESENVOLVIMENTO SOCIAL,83720599,SANTA CATARINA,,0.10435089202821368,True,False
600,FUNDO ESTADUAL DE SAUDE,80673411,SANTA CATARINA,,0.10435089202821368,True,False
862,EMPRESA DE PESQUISA AGROPECUARIA E EXTENSAO RURAL DE SANTA CATARINA,83052191,SANTA CATARINA,,0.10435089202821368,True,False
687,JOINVILLE ESCRIVANIA DA 2 VARA CRIMINAL,01177293,SANTA CATARINA,,0.10435089202821368,True,False
816,FUNDO DE APOIO AO DESENVOLVIMENTO EMPRESARIAL DE SANTA CATARINA,13954798,SANTA CATARINA,,0.10435089202821368,True,False
848,FUNDO ESTADUAL DO TRABALHO - FET-SC,36448037,SANTA CATARINA,,0.10435089202821368,True,False
843,DEPARTAMENTO ESTADUAL DE TRANSITO,34060183,SANTA CATARINA,,0.10435089202821368,True,False
946,CONSORCIO INTERMUNICIPAL BACIA HIDROGRAFICA DO RIO CANOINHAS,04427341,SANTA CATARINA,,0.10435089202821368,True,False
686,JOINVILLE ESCRIVANIA DA 1 VARA CRIMINAL,01177292,SANTA CATARINA,,0.10435089202821368,True,False
943,DME ENERGETICA S.A. - DMEE,03966583,SANTA CATARINA,,0.10435089202821368,True,False
911,INDUSTRIA DE MATERIAL BELICO DO BRASIL IMBEL,00444232,SANTA CATARINA,,0.10435089202821368,True,False
784,FUNDO ESTADUAL DE INCENTIVO AO ESPORTE,07735634,SANTA CATARINA,,0.10435089202821368,True,False
981,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CATARINENSE,10635424,SANTA CATARINA,,0.10435089202821368,True,False
987,CONSORCIO INTERMUNICIPAL DO EXTREMO SUL CATARINENSE - CONEXSUL,13770699,SANTA CATARINA,,0.10435089202821368,True,False
606,MUNICIPIO DE FLORIANOPOLIS,82892282,FLORIANOPOLIS,4205407,0.10435089202821368,True,False
1081,FUNDACAO MUSICAL HARMONIA LYRA,83791475,SANTA CATARINA,,0.10435089202821368,True,False
1082,EMPRESA DE ASSISTENCIA TECNICA E EXTENSAO RURAL DE SC,83813873,SANTA CATARINA,,0.10435089202821368,True,False
788,AGENCIA DE DESENVOLVIMENTO REGIONAL - QUILOMBO,08832425,SANTA CATARINA,,0.10435089202821368,True,False
750,V AGENCIA DE DESENVOLVIMENTO REGIONAL - XANXERE,05628039,SANTA CATARINA,,0.10435089202821368,True,False
1008,INSTITUTO NACIONAL DO SEGURO SOCIAL,29979036,SANTA CATARINA,,0.10435089202821368,True,False
1044,CONSORCIO PUBLICO INTERFEDERATIVO DE SAUDE DA REGIAO DA GRANDE FLORIANOPOLIS,42499226,SANTA CATARINA,,0.10435089202821368,True,False
