id;razao_social;cnpj_8;municipio;codigo_ibge;natureza_juridica;causa_raiz;investigado_em;observacoes
937;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL - SENAC;03603739;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 03603739"
1015;SERVICO NACIONAL DE APRENDIZAGEM COMERCIAL SENAC;33469172;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 33469172"
931;SERVICO NACIONAL DE APRENDIZAGEM DO COOPERATIVISMO;03087543;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 03087543"
966;SERVICO NACIONAL DE APRENDIZAGEM DO COOPERATIVISMO NO ESTADO DE SANTA CATARINA;07020327;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 07020327"
941;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL;03774688;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 03774688"
1019;SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL SENAI;33564543;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 33564543"
1041;SERVICO NACIONAL DE APRENDIZAGEM RURAL SENAR;37138245;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 37138245"
945;SERVICO NACIONAL DE APRENDIZAGEM RURAL SENAR AR/SC;04260738;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 04260738"
942;SERVICO SOCIAL DA INDUSTRIA;03777341;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 03777341"
1028;SERVICO SOCIAL DA INDUSTRIA SESI;33641358;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 33641358"
1035;SERVICO SOCIAL DAS ESTRADAS DE FERRO - SESEF;33909540;SANTA CATARINA;;Autarquia Federal;sem_dados_publicos;2026-07-11;"Entidade 'Autarquia Federal' em SANTA CATARINA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 33909540"
1014;SERVICO SOCIAL DO COMERCIO SESC;33469164;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 33469164"
936;SERVICO SOCIAL DO COMERCIO - SESC AR/SC;03603595;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 03603595"
1052;SEST SERVICO SOCIAL DO TRANSPORTE;73471989;SANTA CATARINA;;Serviço Social Autônomo;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Serviço Social Autônomo' nao abrangida pela Lei 14.133.; CNPJ-8: 73471989"
1022;SUPERINTENDENCIA NACIONAL DO ABASTECIMENTO;33618323;SANTA CATARINA;;Órgão Público do Poder Executivo Federal;sem_dados_publicos;2026-07-11;"Entidade 'Órgão Público do Poder Executivo Federal' em SANTA CATARINA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 33618323"
642;TAIO ESCRIVA DO CIVEL COMERCIO E ORFAOS;83616102;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 83616102"
643;TAIO ESCRIVAO DO CRIME;83616110;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 83616110"
894;TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;00336701;SANTA CATARINA;;Sociedade de Economia Mista;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Sociedade de Economia Mista' nao abrangida pela Lei 14.133.; CNPJ-8: 00336701"
982;THERMAS CASTELLO S/A;10681899;SANTA CATARINA;;Sociedade de Economia Mista;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Sociedade de Economia Mista' nao abrangida pela Lei 14.133.; CNPJ-8: 10681899"
989;TRANSMISSORA SUL BRASILEIRA DE ENERGIA S.A.;14820905;SANTA CATARINA;;Sociedade de Economia Mista;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Sociedade de Economia Mista' nao abrangida pela Lei 14.133.; CNPJ-8: 14820905"
992;TRANSMISSORA SUL LITORANEA DE ENERGIA S.A. - TSLE;16383969;SANTA CATARINA;;Sociedade de Economia Mista;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Sociedade de Economia Mista' nao abrangida pela Lei 14.133.; CNPJ-8: 16383969"
694;TRIBUNAL DE JUSTICA;01355600;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 01355600"
693;TRIBUNAL DE JUSTICA;01355599;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 01355599"
928;TRIBUNAL REGIONAL DO TRABALHO DA 12A REGIAO;02482005;SANTA CATARINA;;Órgão Público do Poder Judiciário Federal;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Federal' nao abrangida pela Lei 14.133.; CNPJ-8: 02482005"
962;TRIBUNAL REGIONAL ELEITORAL DE SANTA CATARINA;05858851;SANTA CATARINA;;Órgão Público do Poder Judiciário Federal;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Federal' nao abrangida pela Lei 14.133.; CNPJ-8: 05858851"
689;UNIDADE JURISDICIONAL DE EXCECAO - FORO DA UNISUL;01218587;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 01218587"
750;V AGENCIA DE DESENVOLVIMENTO REGIONAL - XANXERE;05628039;SANTA CATARINA;;Órgão Público do Poder Executivo Estadual ou do Distrito Federal;sem_dados_publicos;2026-07-11;"Entidade 'Órgão Público do Poder Executivo Estadual ou do Distrito Federal' em SANTA CATARINA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 05628039"
711;VARA CRIMINAL E DA INFANCIA E JUVENTUDE;03664403;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 03664403"
723;VARA DA FAMILIA, ORFAOS E SUCESSOES, INFANCIA E JUVENTUDE;04672953;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 04672953"
722;VARA DA FAZENDA PUBLICA, EXECUCOES FISCAIS, ACIDENTES DO TRABALHO E REGISTROS PUBLICOS;04672947;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 04672947"
698;VARA DE FAMILIA,INFANCIA E JUVENTUDE DA COMARCA DE CHAPECO;01910242;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 01910242"
582;VARA DE PRECATORIAS E PRECATORIOS;73647265;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 73647265"
708;VARA FAZENDA PUPLICA, EXECUTIVOS FISCAIS, ACIDENTES DO TRABALHO E REGISTRO PUBLICO;03573080;SANTA CATARINA;;Órgão Público do Poder Executivo Estadual ou do Distrito Federal;sem_dados_publicos;2026-07-11;"Entidade 'Órgão Público do Poder Executivo Estadual ou do Distrito Federal' em SANTA CATARINA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 03573080"
588;XANXERE CARTORIO DO CIVEL E CRIME;78472826;SANTA CATARINA;;Órgão Público do Poder Judiciário Estadual;sem_obrigacao_legal_14133;2026-07-11;"Entidade do tipo 'Órgão Público do Poder Judiciário Estadual' nao abrangida pela Lei 14.133.; CNPJ-8: 78472826"
1930;FUNDACAO MUNICIPAL DE ESPORTES DE SANTA CECILIA (FME-SC);10693825;SANTA CECILIA;4215505;Fundação Pública de Direito Público Municipal;sem_dados_publicos;2026-07-11;"Entidade 'Fundação Pública de Direito Público Municipal' em SANTA CECILIA sem dados publicos de licitacao encontrados nas fontes atuais.; CNPJ-8: 10693825"
112;FUNDO MUNICIPAL DE HABITACAO  DO MUNICIPIO DE SANTA ROSA DE LIMA;22033804;SANTA ROSA DE LIMA;4215604;Órgão Público do Poder Executivo Municipal;nao_investigado;2026-07-11;"Órgão Público do Poder Executivo Municipal em SANTA ROSA DE LIMA sem cobertura das fontes atuais (PNCP + CIGA CKAN). Requer investigacao manual.; CNPJ-8: 22033804"
