consultado,data_quality_limitation,data_quality_score,fontes,frequencia_temporal,modalidades,orgao,orgao_cnpj,periodo_fim,periodo_inicio,qtd_contratacoes,rank,resultado_zero,ticket_medio,ticket_medio_formula,uf,valor_semantica,valor_total
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3159 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE IMBUIA,83102632000193,2026-07-23,2023-07-20,3159,117,False,2507.28,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,7920498.21
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3151 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE MARAVILHA,82821190000172,2026-07-23,2023-07-20,3151,118,False,17439.59,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,54952135.98
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3136 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAUDE DE MASSARANDUBA,11231203000105,2026-07-23,2023-07-20,3136,119,False,1471.01,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,4613099.95
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3113 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE SÃO LOURENÇO DO OESTE,11359214000175,2026-07-23,2023-07-20,3113,120,False,1958.29,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,6096147.68
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3104 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE ÁGUAS DE CHAPECÓ,82804212000196,2026-07-23,2023-07-20,3104,121,False,11277.22,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,35004480.64
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3089 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE BIGUAÇU,82892308000153,2026-07-23,2023-07-20,3089,122,False,4745.84,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,14659896.54
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3039 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE ARABUTÃ,95995221000153,2026-07-23,2023-07-20,3039,123,False,5031.97,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,15292148.98
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3030 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE SAÚDE DE BIGUAÇU,08999257000100,2026-07-23,2023-07-20,3030,124,False,4396.76,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,13322192.59
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",3002 eventos no período (2023-07-20..2026-07-23),{},MUNICÍPIO DE XAXIM,82854670000130,2026-07-23,2023-07-20,3002,125,False,5411.15,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,16244262.95
True,,1.0,"[""pncp_supplier_contracts"", ""isolated_snapshot""]",2983 eventos no período (2023-07-20..2026-07-23),{},FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DE JARAGUÁ DO SUL,13170158000151,2026-07-23,2023-07-20,2983,126,False,13121.54,valor_total / qtd_contratacoes (same semantic as valor_total),SC,CONTRATADO,39141546.53
