entity_id,razao_social,cnpj_8,municipio,raio_200km,gap_reason
2010,COORDENADORIA MUNICIPAL DE PROTECAO E DEFESA CIVIL (COMPDEC),26495339,BALNEARIO RINCAO,False,no_matched_active_bid
2070,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO RINCAO,31174131,BALNEARIO RINCAO,False,no_matched_active_bid
1980,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO (SAMAE),17509587,BALNEARIO RINCAO,False,no_matched_active_bid
1470,SECRETARIA MUNICIPAL DE EDUCACAO BANDEIRANTE SC,61811718,BANDEIRANTE,False,no_matched_active_bid
1457,CAMARA MUNICIPAL DE VEREADORES DE BARRA BONITA,09301902,BARRA BONITA,False,no_matched_active_bid
1455,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA, ESPORTE E TURISMO DE BARRA BONITA/SC - FUNDEB",63807108,BARRA BONITA,False,no_matched_active_bid
241,FUNDACAO HOSPITALAR MUNICIPAL DE BARRA VELHA,06025201,BARRA VELHA,True,no_matched_active_bid
244,FUNDACAO MUNICIPAL DA CULTURA DE BARRA VELHA,11731032,BARRA VELHA,True,no_matched_active_bid
240,FUNDACAO MUNICIPAL DE ESPORTES,04613328,BARRA VELHA,True,no_matched_active_bid
242,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE BARRA VELHA,06894325,BARRA VELHA,True,no_matched_active_bid
243,"FUNDACAO MUNICIPAL TURISMO, ESPORTES E CULTURA - FUMTEC",07633040,BARRA VELHA,True,no_matched_active_bid
239,IPREVE INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BARRA VELHA.,03937163,BARRA VELHA,True,no_matched_active_bid
245,"SECRETARIA MUNICIPAL DA EDUCACAO, CULTURA E DESPORTO DE BARRA VELHA - SEMEC",30863569,BARRA VELHA,True,no_matched_active_bid
1152,APP DA ESCOLA ISOLADA DE PINHALZINHO,03306109,BELA VISTA DO TOLDO,False,no_matched_active_bid
1151,CAMARA DE VEREADORES DE BELA VISTA DO TOLDO,02317211,BELA VISTA DO TOLDO,False,no_matched_active_bid
1153,SECRETARIA MUNICIPAL DE EDUCACAO DE BELA VISTA DO TOLDO,30637526,BELA VISTA DO TOLDO,False,no_matched_active_bid
1462,CAMARA MUNICIPAL DE VEREADORES DE BELMONTE,04222993,BELMONTE,False,no_matched_active_bid
1460,SECRETARIA MUNICIPAL DE EDUCACAO DE BELMONTE,60366687,BELMONTE,False,no_matched_active_bid
316,BENEDITO NOVO CAMARA DE VEREADORES,83497586,BENEDITO NOVO,True,no_matched_active_bid
314,SECRETARIA DE EDUCACAO E CULTURA DE BENEDITO NOVO,63760835,BENEDITO NOVO,True,no_matched_active_bid
1536,BIGUACU CAMARA DE VEREADORES,73564064,BIGUACU,False,no_matched_active_bid
1931,FUNDACAO MUNICIPAL DE MEIO AMBIENTE DE BIGUACU,10949553,BIGUACU,False,no_matched_active_bid
1844,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BIGUACU,04902325,BIGUACU,False,no_matched_active_bid
1523,SECRETARIA MUNICIPAL DE EDUCACAO,63450307,BIGUACU,False,no_matched_active_bid
182,BLUMENAU CONSELHO MUNICIPAL DE ENTORPECENTES,01768916,BLUMENAU,True,no_matched_active_bid
166,BLUMENAU INTENDENCIA DE VILA ITOUPAVA,81154858,BLUMENAU,True,no_matched_active_bid
161,BLUMENAU PREFEITURA,79372488,BLUMENAU,True,no_matched_active_bid
170,BLUMENAU PREFEITURA,83102236,BLUMENAU,True,no_matched_active_bid
159,BLUMENAU PROCURADORIA GERAL DO MUNICIPIO,79372462,BLUMENAU,True,no_matched_active_bid
162,BLUMENAU SECRETARIA DO MEIO AMBIENTE E DEFESA CIVIL,79372496,BLUMENAU,True,no_matched_active_bid
174,BLUMENAU SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL,83108381,BLUMENAU,True,no_matched_active_bid
185,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,02651698,BLUMENAU,True,no_matched_active_bid
183,BLUMENAU SECRETARIA MUNICIPAL DE CAPTACAO DE RECURSOS,02651364,BLUMENAU,True,no_matched_active_bid
167,BLUMENAU SECRETARIA MUNICIPAL DE COMUNICACAO SOCIAL,81154874,BLUMENAU,True,no_matched_active_bid
