entity_id,razao_social,cnpj_8,municipio,gap_reason
333,MUSEU HISTORICO MUNICIPAL WOGECK KUBIACK DE ATALANTA,65613013,ATALANTA,no_contract_for_org_cnpj_prefix
338,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTE DE ATALANTA SC",30713026,ATALANTA,no_contract_for_org_cnpj_prefix
262,CAMARA DE VEREADORES DE AURORA,02546845,AURORA,no_contract_for_org_cnpj_prefix
264,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC DO MUNICIPIO DE AURORA,18956022,AURORA,no_contract_for_org_cnpj_prefix
263,FUNDACAO CULTURAL DE AURORA,07367359,AURORA,no_contract_for_org_cnpj_prefix
260,FUNDACAO MUNICIPAL DE DESPORTOS DE AURORA,73258600,AURORA,no_contract_for_org_cnpj_prefix
265,SECRETARIA MUNICIPAL DE EDUCACAO DE AURORA SC,30915822,AURORA,no_contract_for_org_cnpj_prefix
1760,CAMARA DE VEREADORES DE BALNEARIO ARROIO DO SILVA,01640637,BALNEARIO ARROIO DO SILVA,no_contract_for_org_cnpj_prefix
2065,"SECRETARIA DE EDUCACAO, CULTURA E ESPORTES DE BALNEARIO ARROIO DO SILVA",31048525,BALNEARIO ARROIO DO SILVA,no_contract_for_org_cnpj_prefix
1770,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,01840231,BALNEARIO ARROIO DO SILVA,no_contract_for_org_cnpj_prefix
1707,BALNEARIO BARRA DO SUL CAMARA DE VEREADORES,95954541,BALNEARIO BARRA DO SUL,no_contract_for_org_cnpj_prefix
1850,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO BARRA DO SUL,05018753,BALNEARIO BARRA DO SUL,no_contract_for_org_cnpj_prefix
2040,SECRETARIA DE EDUCACAO E CULTURA DO MUNICIPIO DE BALNEARIO BARRA DO SUL -FUNDEB,30749094,BALNEARIO BARRA DO SUL,no_contract_for_org_cnpj_prefix
2081,AUTARQUIA MUNICIPAL DE TRANSITO - BC TRANSITO,36043246,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1947,CONSELHO COMUNITARIO DE SEGURANCA BALNEARIO CAMBORIU - CENTRO,12935589,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1950,CONSELHO DA COMUNIDADE DA COMARCA DE BALNEARIO CAMBORIU,13624530,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1945,CONSORCIO INTERMUNICIPAL DE SEGURANCA COM CIDADANIA COSTA VERDE & MAR,12212903,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1537,FUNDACAO MUNICIPAL DE ESPORTES DE BALNEARIO CAMBORIU,73802134,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1528,GUARDA MUNICIPAL DE BALNEARIO CAMBORIU,63932187,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1888,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO CAMBORIU,07252009,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1871,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO CAMBORIU,06077000,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1520,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO CAMBORIU,63208819,BALNEARIO CAMBORIU,no_contract_for_org_cnpj_prefix
1674,BALNEARIO PICARRAS CAMARA MUNICIPAL DE VEREADORES,83551523,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1961,COMISSAO MUNICIPAL DE DEFESA CIVIL - COMDEC,15009630,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1828,CONSELHO MUNICIPAL DE ASSISTENCIA SOCIAL - C.M.A.S.,04402810,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1829,CONSELHO MUNICIPAL DE SAUDE - CMS,04402818,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1830,CONSELHO MUNICIPAL DOS DIREITOS DA CRIANCA E DO ADOLESCENTE DE PICARRAS - COMDICAPI,04402843,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
2073,CONSORCIO INTERMUNICIPAL MULTIFINALITARIO DA REGIAO DA AMFRI - CIM-AMFRI,32980376,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1990,FUNDACAO MUNICIPAL DE CULTURA DE BALNEARIO PICARRAS,19767892,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1985,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE BALNEARIO PICARRAS - IPRESP,19445390,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
2014,INSTITUTO DO MEIO AMBIENTE DE BALNEARIO PICARRAS - IMP,29957183,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
1522,SECRETARIA MUNICIPAL DE EDUCACAO DE BALNEARIO PICARRAS,63423294,BALNEARIO DE PICARRAS,no_contract_for_org_cnpj_prefix
