source_id,objeto,orgao_cnpj,orgao_nome,uf,municipio,data_encerramento,link_oficial,ranking,ranking_score,ranking_confianca,motivo,fatores_positivos
sc-58982,"Contratação de serviços de reabilitação  (psicologia, psicopedagogia, fisioterapia, fonoaudiologia, terapia ocupacional e nutrição) para atendimento de demandas judiciais da Secretaria de Estado da Sa",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/58982,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58716,Pagamento da anuidade à OUI-IOHE – Inter-American Organization for Higher Education (Organização Interamericana de Ensino Superior) para o ano de 2026.,,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/58716,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58368,"Registro de Preços para futura e eventual aquisição de órteses, próteses e materiais especiais para a Secretaria de Estado da Saúde.",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/58368,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58172,Aquisição de equipamentos para coleta e identificação de algas nos corpos hídricos de Santa Catarina.,,Instituto do Meio Ambiente - IMA,SC,,,https://compras.sc.gov.br/editais/58172,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59482,"Aquisição de  sondas  perineais vaginais do  tipo PelviFit Lite, destinadas à utilização em atendimentos clínicos, atividades de pesquisa e extensão desenvolvidas no Laboratório de Biomecânica do CEFI",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59482,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58244,"Registro de preços para futura e eventual aquisição de lixeiras de coleta seletiva, bem como de demais itens necessários à implementação da Agenda Ambiental na Administração Pública (A3P), para atende",,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/58244,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59638,"Registro de Preços para futura e eventual aquisição de órteses, próteses e materiais especiais para a Secretaria de Estado da Saúde.",,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/59638,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59177,"Pagamento da taxa de inscrição do Técnico Antônio Marcos Machado, lotado na DAD/FAED, como participante da 7ª edição da Semana Orçamentária e Financeira, a ser realizado entre 16 e 19/06/2026, em Bras",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/59177,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59832,Contratação de empresa especializada para o fornecimento de televisores e suportes para uso da Fesporte.,,Fundação Catarinense de Esporte - FCE,SC,,,https://compras.sc.gov.br/editais/59832,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59875,Aquisição de lavadora e de secadora de roupas.,,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/59875,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58579,"Pagamento mensal dos serviços de agua, esgoto e coleta de lixo do CEPLAN para o ano de 2026, SGPE 1039/2026.",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/58579,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58478,"Dispensa de licitação para a contratação de empresa para a aquisição de 300 (trezentas) bobinas de papel térmico 80 mm x 30 m, cor branca,  compatíveis com impressora térmica EPSON, para atender às ne",,Defensoria Pública do Estado de Santa Catarina - DPE,SC,,,https://compras.sc.gov.br/editais/58478,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58306,"Pagamento de inscrição Prof. Dr. Henrique Mendonça Nunes Ribeiro Filho contemplado no  edital  de  chamada  pública  PROEVEN  nº  14/2025  –  Modalidade  Presencial,  para participar do seguinte event",,Fundação Universidade do Estado de Santa Catarina - UDESC,SC,,,https://compras.sc.gov.br/editais/58306,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58678,"Aquisição de gêneros alimentícios mais perecíveis, oriundos diretamente da agricultura familiar e do empreendedor familiar rural ou de suas organizações, para compor os cardápios das unidades escolare",,Secretaria de Estado da Educação - SED,SC,,,https://compras.sc.gov.br/editais/58678,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58227,"Aquisição de Cota de Patrocínio para a Vindima Per Tutti 2026, a ser realizada no dia 22/01/2026 no Salão Paroquial da Igreja Matriz Nossa Senhora da Conceição, na Rua da Criança, 125 - Centro de Urus",,Secretaria de Estado do Turismo - SETUR,SC,,,https://compras.sc.gov.br/editais/58227,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58456,"Contratação de empresa especializada para execução de Serviço de Sondagem de Solo do
tipo SPT e/ou Rotativa com 6 (seis) furos com profundidade média de 30m, totalizando
aproximadamente 180 metros lin",,Defesa Cívil - DC,SC,,,https://compras.sc.gov.br/editais/58456,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59891,Serviços Funerários para a Penitenciária de Florianópolis.,,Secretaria de Estado de Justiça e Reintegração Social - SEJURI,SC,,,https://compras.sc.gov.br/editais/59891,NO_GO,0,HIGH,Sem identificação do órgão,
sc-58463,Contratação de serviços de análises clínicas (coleta e execução de exames) para a Secretaria de Estado da Saúde.,,Secretaria de Estado da Administração - SEA,SC,,,https://compras.sc.gov.br/editais/58463,NO_GO,0,HIGH,Sem identificação do órgão,
sc-59032,"Contratação de concessionária autorizada para realização de revisão preventiva, em razão da garantia de fábrica, em viaturas da frota da Polícia Civil de Santa Catarina",,Polícia Civil - PC,SC,,,https://compras.sc.gov.br/editais/59032,NO_GO,0,HIGH,Sem identificação do órgão,
