ibge_code,cnpj,name,canonical_name,entity_type,municipio,uf,lat,lon,distance_km,zone,sources
4213500,10718233,PREFEITURA MUNICIPAL DE PORTO BELO/FUMREBOM,PREFEITURA MUNICIPAL DE PORTO BELO/FUMREBOM,secretaria_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,13102858,FUNDACAO MUNICIPAL DE TURISMO E DESENVOLVIMENTO ECONOMICO DE PORTO BELO,FUNDACAO MUNICIPAL DE TURISMO E DESENVOLVIMENTO ECONOMICO DE PORTO BELO,fundacao_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,16708223,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE PORTO BELO,FUNDACAO MUNICIPAL DO MEIO AMBIENTE DE PORTO BELO,fundacao_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,18600048,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE PORTO BELO - COMDEC,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DO MUNICIPIO DE PORTO BELO - COMDEC,secretaria_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4213500,29470098,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DE PORTO BELO,INSTITUTO DE PREVIDENCIA DOS SERVIDORES PUBLICOS DE PORTO BELO,autarquia_municipal,PORTO BELO,SC,-27.1586,-48.5469,48.6,DENTRO,seed:R-0
4205704,45084018,INSTITUTO MUNICIPAL DO MEIO AMBIENTE DE GAROPABA - IMAG,INSTITUTO MUNICIPAL DO MEIO AMBIENTE DE GAROPABA - IMAG,autarquia_municipal,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4205704,56992840,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA DE GAROPABA SC,SECRETARIA MUNICIPAL DE EDUCACAO E CULTURA DE GAROPABA SC,secretaria_municipal,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4205704,80987423,CAMARA MUNICIPAL DE GAROPABA,CAMARA MUNICIPAL DE GAROPABA,camara_municipal,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4205704,82836057,MUNICIPIO DE GAROPABA,MUNICIPIO DE GAROPABA,prefeitura,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4205704,03749731,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE GAROPABA,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE GAROPABA,autarquia_municipal,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4205704,10932441,FUNDACAO DE CULTURA TURISMO E ESPORTE DE GAROPABA,FUNDACAO DE CULTURA TURISMO E ESPORTE DE GAROPABA,fundacao_municipal,GAROPABA,SC,-28.0275,-48.6192,48.6,DENTRO,seed:R-0
4202453,95815304,CAMARA MUNICIPAL DE BOMBINHAS,CAMARA MUNICIPAL DE BOMBINHAS,camara_municipal,BOMBINHAS,SC,-27.1382,-48.5146,50.9,DENTRO,seed:R-0
4202453,95815379,MUNICIPIO DE BOMBINHAS,MUNICIPIO DE BOMBINHAS,prefeitura,BOMBINHAS,SC,-27.1382,-48.5146,50.9,DENTRO,seed:R-0
4202453,05655623,FUNDACAO MUNICIPAL DE ESPORTES DE BOMBINHAS,FUNDACAO MUNICIPAL DE ESPORTES DE BOMBINHAS,fundacao_municipal,BOMBINHAS,SC,-27.1382,-48.5146,50.9,DENTRO,seed:R-0
4202453,09362501,FUNDACAO MUNICIPAL DE CULTURA DE BOMBINHAS,FUNDACAO MUNICIPAL DE CULTURA DE BOMBINHAS,fundacao_municipal,BOMBINHAS,SC,-27.1382,-48.5146,50.9,DENTRO,seed:R-0
4202453,11419507,FUNDACAO MUNICIPAL DE AMPARO AO MEIO AMBIENTE DE BOMBINHAS,FUNDACAO MUNICIPAL DE AMPARO AO MEIO AMBIENTE DE BOMBINHAS,fundacao_municipal,BOMBINHAS,SC,-27.1382,-48.5146,50.9,DENTRO,seed:R-0
4211504,64053787,SECRETARIA MUNICIPAL DE EDUCACAO,SECRETARIA MUNICIPAL DE EDUCACAO,secretaria_municipal,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4211504,82925025,MUNICIPIO DE NOVA TRENTO,MUNICIPIO DE NOVA TRENTO,prefeitura,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4211504,95785267,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,autarquia_municipal,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4211504,04302508,CAMARA MUNICIPAL DE VEREADORES DE NOVA TRENTO,CAMARA MUNICIPAL DE VEREADORES DE NOVA TRENTO,camara_municipal,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4211504,04529689,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE NOVA TRENTO,INSTITUTO DE PREVIDENCIA SOCIAL DOS SERVIDORES PUBLICOS DO MUNICIPIO DE NOVA TRENTO,autarquia_municipal,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4211504,15046464,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DE NOVA TRENTO,COORDENADORIA MUNICIPAL DE DEFESA CIVIL DE NOVA TRENTO,secretaria_municipal,NOVA TRENTO,SC,-27.278,-48.9298,51.6,DENTRO,seed:R-0
4208302,51364585,GUARDA MUNICIPAL DE ITAPEMA,GUARDA MUNICIPAL DE ITAPEMA,secretaria_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,82572207,MUNICIPIO DE ITAPEMA,MUNICIPIO DE ITAPEMA,prefeitura,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,82702259,ITAPEMA CAMARA MUNICIPAL,ITAPEMA CAMARA MUNICIPAL,camara_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,05234481,FUNDACAO AMBIENTAL AREA COSTEIRA DE ITAPEMA,FUNDACAO AMBIENTAL AREA COSTEIRA DE ITAPEMA,fundacao_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,08117155,ITATRAN - FUNDACAO MUNICIPAL DE TRANSITO,ITATRAN - FUNDACAO MUNICIPAL DE TRANSITO,secretaria_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,08683416,FUNDACAO MUNICIPAL DE CULTURA DE ITAPEMA,FUNDACAO MUNICIPAL DE CULTURA DE ITAPEMA,fundacao_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,08692523,FUNDACAO MUNICIPAL DE ESPORTES,FUNDACAO MUNICIPAL DE ESPORTES,fundacao_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,16670395,"AGENCIA MUNICIPAL DE REGULACAO, CONTROLE E FISCALIZACAO DO MUNICIPIO DE ITAPEMA","AGENCIA MUNICIPAL DE REGULACAO, CONTROLE E FISCALIZACAO DO MUNICIPIO DE ITAPEMA",autarquia_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4208302,30470961,SECRETARIA MUNICIPAL DE EDUCACAO DE ITAPEMA,SECRETARIA MUNICIPAL DE EDUCACAO DE ITAPEMA,secretaria_municipal,ITAPEMA,SC,-27.0861,-48.616,57.0,DENTRO,seed:R-0
4202909,58854069,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,FUNDACAO MUNICIPAL DE TURISMO - FUMTUR,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,81285751,FUNDACAO ECOLOGICA E ZOOBOTANICA DE BRUSQUE,FUNDACAO ECOLOGICA E ZOOBOTANICA DE BRUSQUE,fundacao_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
4202909,82985003,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,SERVICO AUTONOMO MUNICIPAL DE AGUA E ESGOTO,autarquia_municipal,BRUSQUE,SC,-27.0977,-48.9107,65.9,DENTRO,seed:R-0
